Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('minibatch Accuracy (i, batch number)', 16, 800, [0.9875636, 0.057031028])
('minibatch Accuracy (i, batch number)', 16, 850, [0.9886, 0.05394891])
('Accuracy', 16, 'Test', array([0.95389998]), 'Train', array([0.98870909]))
('minibatch Accuracy (i, batch number)', 17, 50, [0.98947275, 0.051223613])
('minibatch Accuracy (i, batch number)', 17, 100, [0.9876909, 0.05458193])
('minibatch Accuracy (i, batch number)', 17, 150, [0.9889455, 0.051561344])
('minibatch Accuracy (i, batch number)', 17, 200, [0.9855273, 0.057127263])
('minibatch Accuracy (i, batch number)', 17, 250, [0.9891273, 0.050828736])
('minibatch Accuracy (i, batch number)', 17, 300, [0.9890364, 0.050216556])
('minibatch Accuracy (i, batch number)', 17, 350, [0.98907274, 0.049177773])
('minibatch Accuracy (i, batch number)', 17, 400, [0.9891273, 0.049172994])
('minibatch Accuracy (i, batch number)', 17, 450, [0.9875636, 0.05287394])
('minibatch Accuracy (i, batch number)', 17, 500, [0.98752725, 0.05113092])
('minibatch Accuracy (i, batch number)', 17, 550, [0.9897818, 0.04728991])
('minibatch Accuracy (i, batch number)', 17, 600, [0.9903273, 0.04505261])
('minibatch Accuracy (i, batch number)', 17, 650, [0.9911636, 0.043275405])
('minibatch Accuracy (i, batch number)', 17, 700, [0.9886364, 0.048293546])
('minibatch Accuracy (i, batch number)', 17, 750, [0.9899273, 0.04458013])
('minibatch Accuracy (i, batch number)', 17, 800, [0.99161816, 0.04169338])
('minibatch Accuracy (i, batch number)', 17, 850, [0.9928182, 0.038868535])
('Accuracy', 17, 'Test', array([0.95349997]), 'Train', array([0.99107271]))
('minibatch Accuracy (i, batch number)', 18, 50, [0.9919818, 0.039531983])
('minibatch Accuracy (i, batch number)', 18, 100, [0.9924545, 0.03921773])
('minibatch Accuracy (i, batch number)', 18, 150, [0.99267274, 0.037749246])
('minibatch Accuracy (i, batch number)', 18, 200, [0.99258184, 0.037316397])
('minibatch Accuracy (i, batch number)', 18, 250, [0.9922, 0.037996072])
('minibatch Accuracy (i, batch number)', 18, 300, [0.9912364, 0.03919137])
('minibatch Accuracy (i, batch number)', 18, 350, [0.9933636, 0.034509826])
('minibatch Accuracy (i, batch number)', 18, 400, [0.9909273, 0.03977998])
('minibatch Accuracy (i, batch number)', 18, 450, [0.99256366, 0.03576252])
('minibatch Accuracy (i, batch number)', 18, 500, [0.9933636, 0.033338152])
('minibatch Accuracy (i, batch number)', 18, 550, [0.9941273, 0.032076776])
('minibatch Accuracy (i, batch number)', 18, 600, [0.9935273, 0.033669014])
('minibatch Accuracy (i, batch number)', 18, 650, [0.99414545, 0.031999346])
('minibatch Accuracy (i, batch number)', 18, 700, [0.9939091, 0.031361606])
('minibatch Accuracy (i, batch number)', 18, 750, [0.99383634, 0.031939812])
('minibatch Accuracy (i, batch number)', 18, 800, [0.99305457, 0.03296803])
('minibatch Accuracy (i, batch number)', 18, 850, [0.99405456, 0.031040533])
('Accuracy', 18, 'Test', array([0.95310003]), 'Train', array([0.99454546]))
('minibatch Accuracy (i, batch number)', 19, 50, [0.9942727, 0.029571613])
('minibatch Accuracy (i, batch number)', 19, 100, [0.9953273, 0.02721228])
('minibatch Accuracy (i, batch number)', 19, 150, [0.99494547, 0.027841104])
('minibatch Accuracy (i, batch number)', 19, 200, [0.9946909, 0.028222788])
