Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('Details', 'mnist_uni_noise_kappa_4_adv.csv', 'MNIST Grad -- New Framework', 100, 64, 25)
('minibatch Accuracy (i, batch number)', 7, 850, [0.38932726, 0.23780344, 0.63239074])
('Accuracy', 7, 'Test', array([0.39610001]), 'Train', array([0.38196364]))
('minibatch Accuracy (i, batch number)', 8, 50, [0.38696364, 0.23949797, 0.63002646])
('minibatch Accuracy (i, batch number)', 8, 100, [0.37836364, 0.24024163, 0.63508815])
('minibatch Accuracy (i, batch number)', 8, 150, [0.38454545, 0.26163253, 0.6354323])
('minibatch Accuracy (i, batch number)', 8, 200, [0.36465454, 0.24742252, 0.63301617])
('minibatch Accuracy (i, batch number)', 8, 250, [0.37478182, 0.26833016, 0.63295484])
('minibatch Accuracy (i, batch number)', 8, 300, [0.3756, 0.23125935, 0.63331264])
('minibatch Accuracy (i, batch number)', 8, 350, [0.371, 0.24307494, 0.6357339])
('minibatch Accuracy (i, batch number)', 8, 400, [0.38078183, 0.23090464, 0.63333553])
('minibatch Accuracy (i, batch number)', 8, 450, [0.39072728, 0.22686654, 0.6302709])
('minibatch Accuracy (i, batch number)', 8, 500, [0.38930908, 0.26844737, 0.6375972])
('minibatch Accuracy (i, batch number)', 8, 550, [0.38925454, 0.26624453, 0.63392764])
('minibatch Accuracy (i, batch number)', 8, 600, [0.38114545, 0.22309314, 0.6314347])
('minibatch Accuracy (i, batch number)', 8, 650, [0.3657818, 0.23331316, 0.6354865])
('minibatch Accuracy (i, batch number)', 8, 700, [0.3742182, 0.2186371, 0.63462025])
('minibatch Accuracy (i, batch number)', 8, 750, [0.39147273, 0.22367933, 0.6348963])
('minibatch Accuracy (i, batch number)', 8, 800, [0.38134545, 0.21677235, 0.63656867])
('minibatch Accuracy (i, batch number)', 8, 850, [0.36103636, 0.25130814, 0.63906723])
('Accuracy', 8, 'Test', array([0.4082]), 'Train', array([0.39363638]))
('minibatch Accuracy (i, batch number)', 9, 50, [0.36983636, 0.21795021, 0.6386328])
('minibatch Accuracy (i, batch number)', 9, 100, [0.39692727, 0.24543, 0.6330115])
('minibatch Accuracy (i, batch number)', 9, 150, [0.38394547, 0.21288322, 0.6326494])
('minibatch Accuracy (i, batch number)', 9, 200, [0.3863818, 0.21270715, 0.63770753])
('minibatch Accuracy (i, batch number)', 9, 250, [0.37214544, 0.21433687, 0.63795716])
('minibatch Accuracy (i, batch number)', 9, 300, [0.38523635, 0.21002747, 0.6389871])
('minibatch Accuracy (i, batch number)', 9, 350, [0.37552726, 0.23144022, 0.63609016])
('minibatch Accuracy (i, batch number)', 9, 400, [0.3831091, 0.21482386, 0.640267])
('minibatch Accuracy (i, batch number)', 9, 450, [0.36603636, 0.222664, 0.63902617])
('minibatch Accuracy (i, batch number)', 9, 500, [0.3648909, 0.21254641, 0.63730824])
('minibatch Accuracy (i, batch number)', 9, 550, [0.3832, 0.2075102, 0.63446915])
('minibatch Accuracy (i, batch number)', 9, 600, [0.3952182, 0.20268217, 0.63644874])
('minibatch Accuracy (i, batch number)', 9, 650, [0.39085454, 0.20655167, 0.63544005])
('minibatch Accuracy (i, batch number)', 9, 700, [0.3743818, 0.2133075, 0.63892996])
('minibatch Accuracy (i, batch number)', 9, 750, [0.39103636, 0.20231117, 0.6384785])
('minibatch Accuracy (i, batch number)', 9, 800, [0.38583636, 0.19984618, 0.6371707])
('minibatch Accuracy (i, batch number)', 9, 850, [0.3790182, 0.1982068, 0.63719636])
('Accuracy', 9, 'Test', array([0.39120001]), 'Train', array([0.37645453]))
('minibatch Accuracy (i, batch number)', 10, 50, [0.4031091, 0.21951205, 0.6384545])
('minibatch Accuracy (i, batch number)', 10, 100, [0.39003637, 0.19292843, 0.6403122])
('minibatch Accuracy (i, batch number)', 10, 150, [0.3903091, 0.21486698, 0.64170736])
('minibatch Accuracy (i, batch number)', 10, 200, [0.39794546, 0.19818147, 0.63955575])
('minibatch Accuracy (i, batch number)', 10, 250, [0.3915091, 0.20670925, 0.6392615])
('minibatch Accuracy (i, batch number)', 10, 300, [0.3852, 0.21883945, 0.63834286])
('minibatch Accuracy (i, batch number)', 10, 350, [0.40243638, 0.1970052, 0.64016235])
('minibatch Accuracy (i, batch number)', 10, 400, [0.39207274, 0.19097261, 0.6426716])
('minibatch Accuracy (i, batch number)', 10, 450, [0.3675091, 0.20016819, 0.6425653])
('minibatch Accuracy (i, batch number)', 10, 500, [0.37425455, 0.19426927, 0.64123213])
('minibatch Accuracy (i, batch number)', 10, 550, [0.38181818, 0.19396587, 0.64006126])
('minibatch Accuracy (i, batch number)', 10, 600, [0.37323636, 0.18993387, 0.6456797])
('minibatch Accuracy (i, batch number)', 10, 650, [0.38236365, 0.1834578, 0.6404616])
('minibatch Accuracy (i, batch number)', 10, 700, [0.37052727, 0.19984293, 0.64282936])
('minibatch Accuracy (i, batch number)', 10, 750, [0.37734544, 0.18650083, 0.6398672])
('minibatch Accuracy (i, batch number)', 10, 800, [0.38689092, 0.18388116, 0.64117336])
('minibatch Accuracy (i, batch number)', 10, 850, [0.38076365, 0.18949002, 0.6411963])
('Accuracy', 10, 'Test', array([0.3872]), 'Train', array([0.37441817]))
('minibatch Accuracy (i, batch number)', 11, 50, [0.3660727, 0.18345645, 0.6441095])
('minibatch Accuracy (i, batch number)', 11, 100, [0.37354547, 0.18619983, 0.64180297])
('minibatch Accuracy (i, batch number)', 11, 150, [0.37354547, 0.19505776, 0.63959026])
('minibatch Accuracy (i, batch number)', 11, 200, [0.37223637, 0.18380873, 0.6416331])
('minibatch Accuracy (i, batch number)', 11, 250, [0.38092726, 0.17877476, 0.63998413])
('minibatch Accuracy (i, batch number)', 11, 300, [0.3906, 0.18134296, 0.641367])
('minibatch Accuracy (i, batch number)', 11, 350, [0.3898, 0.18676962, 0.6436593])
('minibatch Accuracy (i, batch number)', 11, 400, [0.3912182, 0.1858452, 0.6420364])
('minibatch Accuracy (i, batch number)', 11, 450, [0.38794544, 0.17328309, 0.6414893])
