Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('minibatch Accuracy (i, batch number)', 18, 850, [0.97336364, 0.087412074])
('Accuracy', 18, 'Test', array([0.95910001]), 'Train', array([0.97369093]))
('minibatch Accuracy (i, batch number)', 19, 50, [0.9735818, 0.086397335])
('minibatch Accuracy (i, batch number)', 19, 100, [0.97416365, 0.08628841])
('minibatch Accuracy (i, batch number)', 19, 150, [0.97467273, 0.08487165])
('minibatch Accuracy (i, batch number)', 19, 200, [0.9745455, 0.0847043])
('minibatch Accuracy (i, batch number)', 19, 250, [0.97392726, 0.08549808])
('minibatch Accuracy (i, batch number)', 19, 300, [0.9735818, 0.08651975])
('minibatch Accuracy (i, batch number)', 19, 350, [0.9742909, 0.085256346])
('minibatch Accuracy (i, batch number)', 19, 400, [0.97483635, 0.08383662])
('minibatch Accuracy (i, batch number)', 19, 450, [0.9746364, 0.083512746])
('minibatch Accuracy (i, batch number)', 19, 500, [0.9741273, 0.08385104])
('minibatch Accuracy (i, batch number)', 19, 550, [0.9744545, 0.08428575])
('minibatch Accuracy (i, batch number)', 19, 600, [0.9748909, 0.08217665])
('minibatch Accuracy (i, batch number)', 19, 650, [0.9746, 0.08273045])
('minibatch Accuracy (i, batch number)', 19, 700, [0.9744909, 0.08321693])
('minibatch Accuracy (i, batch number)', 19, 750, [0.9751273, 0.08197908])
('minibatch Accuracy (i, batch number)', 19, 800, [0.97492725, 0.08177938])
('minibatch Accuracy (i, batch number)', 19, 850, [0.9754, 0.081085615])
('Accuracy', 19, 'Test', array([0.95959997]), 'Train', array([0.97561818]))
('minibatch Accuracy (i, batch number)', 20, 50, [0.97481817, 0.08223045])
('minibatch Accuracy (i, batch number)', 20, 100, [0.9757091, 0.08086021])
('minibatch Accuracy (i, batch number)', 20, 150, [0.9755273, 0.082228065])
('minibatch Accuracy (i, batch number)', 20, 200, [0.9754182, 0.081323795])
('minibatch Accuracy (i, batch number)', 20, 250, [0.97545457, 0.08024762])
('minibatch Accuracy (i, batch number)', 20, 300, [0.97574544, 0.08035346])
('minibatch Accuracy (i, batch number)', 20, 350, [0.9755091, 0.08003081])
('minibatch Accuracy (i, batch number)', 20, 400, [0.9753818, 0.080891654])
('minibatch Accuracy (i, batch number)', 20, 450, [0.9764364, 0.078127265])
('minibatch Accuracy (i, batch number)', 20, 500, [0.9761818, 0.07863283])
('minibatch Accuracy (i, batch number)', 20, 550, [0.9764364, 0.077650614])
('minibatch Accuracy (i, batch number)', 20, 600, [0.97587276, 0.07842466])
('minibatch Accuracy (i, batch number)', 20, 650, [0.9765091, 0.07795796])
('minibatch Accuracy (i, batch number)', 20, 700, [0.97663635, 0.07746433])
('minibatch Accuracy (i, batch number)', 20, 750, [0.97605455, 0.0777619])
('minibatch Accuracy (i, batch number)', 20, 800, [0.9754, 0.07961241])
('minibatch Accuracy (i, batch number)', 20, 850, [0.9764, 0.07730783])
('Accuracy', 20, 'Test', array([0.9598]), 'Train', array([0.97680002]))
('minibatch Accuracy (i, batch number)', 21, 50, [0.9766727, 0.07615775])
('minibatch Accuracy (i, batch number)', 21, 100, [0.9762727, 0.07746672])
('minibatch Accuracy (i, batch number)', 21, 150, [0.9769273, 0.07596517])
('minibatch Accuracy (i, batch number)', 21, 200, [0.9770182, 0.075730726])
('minibatch Accuracy (i, batch number)', 21, 250, [0.9768909, 0.07607284])
('minibatch Accuracy (i, batch number)', 21, 300, [0.97727275, 0.07493337])
('minibatch Accuracy (i, batch number)', 21, 350, [0.97743636, 0.07436698])
('minibatch Accuracy (i, batch number)', 21, 400, [0.97621816, 0.07627728])
('minibatch Accuracy (i, batch number)', 21, 450, [0.97696364, 0.07545383])
('minibatch Accuracy (i, batch number)', 21, 500, [0.9762727, 0.07637388])
('minibatch Accuracy (i, batch number)', 21, 550, [0.9769273, 0.07547694])
('minibatch Accuracy (i, batch number)', 21, 600, [0.97776365, 0.07373408])
('minibatch Accuracy (i, batch number)', 21, 650, [0.9778909, 0.073705204])
('minibatch Accuracy (i, batch number)', 21, 700, [0.97778183, 0.07399935])
('minibatch Accuracy (i, batch number)', 21, 750, [0.9780545, 0.07246026])
('minibatch Accuracy (i, batch number)', 21, 800, [0.9778, 0.07350901])
('minibatch Accuracy (i, batch number)', 21, 850, [0.9778364, 0.072975986])
('Accuracy', 21, 'Test', array([0.96170002]), 'Train', array([0.97781819]))
('minibatch Accuracy (i, batch number)', 22, 50, [0.9771091, 0.074175104])
('minibatch Accuracy (i, batch number)', 22, 100, [0.9775818, 0.07391885])
('minibatch Accuracy (i, batch number)', 22, 150, [0.9775636, 0.07242933])
('minibatch Accuracy (i, batch number)', 22, 200, [0.9783818, 0.07177547])
('minibatch Accuracy (i, batch number)', 22, 250, [0.9789818, 0.07037406])
('minibatch Accuracy (i, batch number)', 22, 300, [0.97825456, 0.070712455])
('minibatch Accuracy (i, batch number)', 22, 350, [0.979, 0.07062867])
('minibatch Accuracy (i, batch number)', 22, 400, [0.9784909, 0.0701771])
('minibatch Accuracy (i, batch number)', 22, 450, [0.9790364, 0.07034419])
('minibatch Accuracy (i, batch number)', 22, 500, [0.97776365, 0.07113137])
('minibatch Accuracy (i, batch number)', 22, 550, [0.9782364, 0.07065112])
('minibatch Accuracy (i, batch number)', 22, 600, [0.9786182, 0.06970089])
('minibatch Accuracy (i, batch number)', 22, 650, [0.97941816, 0.06873991])
('minibatch Accuracy (i, batch number)', 22, 700, [0.9788, 0.06908926])
('minibatch Accuracy (i, batch number)', 22, 750, [0.9793636, 0.06780761])
('minibatch Accuracy (i, batch number)', 22, 800, [0.9790546, 0.06889148])
('minibatch Accuracy (i, batch number)', 22, 850, [0.97943634, 0.06857043])
('Accuracy', 22, 'Test', array([0.9623]), 'Train', array([0.97974545]))
('minibatch Accuracy (i, batch number)', 23, 50, [0.9792, 0.067824855])
('minibatch Accuracy (i, batch number)', 23, 100, [0.97934544, 0.068877675])
('minibatch Accuracy (i, batch number)', 23, 150, [0.97990906, 0.06717105])
('minibatch Accuracy (i, batch number)', 23, 200, [0.9796, 0.06808113])
('minibatch Accuracy (i, batch number)', 23, 250, [0.9796182, 0.06856888])
('minibatch Accuracy (i, batch number)', 23, 300, [0.97998184, 0.067645825])
('minibatch Accuracy (i, batch number)', 23, 350, [0.9802909, 0.06641708])
('minibatch Accuracy (i, batch number)', 23, 400, [0.9802909, 0.067052685])
('minibatch Accuracy (i, batch number)', 23, 450, [0.97981817, 0.06734195])
('minibatch Accuracy (i, batch number)', 23, 500, [0.9805091, 0.06566344])
('minibatch Accuracy (i, batch number)', 23, 550, [0.9804182, 0.065205])
('minibatch Accuracy (i, batch number)', 23, 600, [0.97907275, 0.06795206])
('minibatch Accuracy (i, batch number)', 23, 650, [0.9805091, 0.06460843])
('minibatch Accuracy (i, batch number)', 23, 700, [0.9801818, 0.065273464])
('minibatch Accuracy (i, batch number)', 23, 750, [0.9803454, 0.06474536])
('minibatch Accuracy (i, batch number)', 23, 800, [0.9800909, 0.06590172])
('minibatch Accuracy (i, batch number)', 23, 850, [0.9799273, 0.06570987])
('Accuracy', 23, 'Test', array([0.96329999]), 'Train', array([0.98016363]))
('minibatch Accuracy (i, batch number)', 24, 50, [0.9803454, 0.06466317])
('minibatch Accuracy (i, batch number)', 24, 100, [0.9791273, 0.06794764])
('minibatch Accuracy (i, batch number)', 24, 150, [0.9802, 0.064639725])
('minibatch Accuracy (i, batch number)', 24, 200, [0.9809273, 0.063083336])
('minibatch Accuracy (i, batch number)', 24, 250, [0.9808364, 0.06334393])
('minibatch Accuracy (i, batch number)', 24, 300, [0.98074543, 0.06381485])
('minibatch Accuracy (i, batch number)', 24, 350, [0.9808909, 0.062433444])
('minibatch Accuracy (i, batch number)', 24, 400, [0.9810182, 0.061821006])
('minibatch Accuracy (i, batch number)', 24, 450, [0.98123634, 0.061554052])
('minibatch Accuracy (i, batch number)', 24, 500, [0.9811818, 0.06146585])
('minibatch Accuracy (i, batch number)', 24, 550, [0.9814182, 0.061991483])
('minibatch Accuracy (i, batch number)', 24, 600, [0.981, 0.06221058])
('minibatch Accuracy (i, batch number)', 24, 650, [0.9821636, 0.060980976])
('minibatch Accuracy (i, batch number)', 24, 700, [0.9809273, 0.0628567])
('minibatch Accuracy (i, batch number)', 24, 750, [0.98163635, 0.06024591])
('minibatch Accuracy (i, batch number)', 24, 800, [0.9819273, 0.05995791])
('minibatch Accuracy (i, batch number)', 24, 850, [0.98194546, 0.060098886])
('Accuracy', 24, 'Test', array([0.96329999]), 'Train', array([0.98178184]))
