Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('minibatch Accuracy (i, batch number)', 1, 700, [0.8550182, 0.5852146])
('minibatch Accuracy (i, batch number)', 1, 750, [0.8594, 0.56190115])
('minibatch Accuracy (i, batch number)', 1, 800, [0.8628182, 0.5418136])
('minibatch Accuracy (i, batch number)', 1, 850, [0.8649273, 0.52334726])
('Accuracy', 1, 'Test', array([0.87150002]), 'Train', array([0.86516362]))
('minibatch Accuracy (i, batch number)', 2, 50, [0.8682182, 0.50342405])
('minibatch Accuracy (i, batch number)', 2, 100, [0.86987275, 0.48965475])
('minibatch Accuracy (i, batch number)', 2, 150, [0.8724545, 0.47569644])
('minibatch Accuracy (i, batch number)', 2, 200, [0.8749818, 0.46454737])
('minibatch Accuracy (i, batch number)', 2, 250, [0.87725455, 0.4534611])
('minibatch Accuracy (i, batch number)', 2, 300, [0.87896365, 0.44350523])
('minibatch Accuracy (i, batch number)', 2, 350, [0.881, 0.43534914])
('minibatch Accuracy (i, batch number)', 2, 400, [0.8831091, 0.4253556])
('minibatch Accuracy (i, batch number)', 2, 450, [0.8841091, 0.4175419])
('minibatch Accuracy (i, batch number)', 2, 500, [0.8862909, 0.40894055])
('minibatch Accuracy (i, batch number)', 2, 550, [0.8875091, 0.4023063])
('minibatch Accuracy (i, batch number)', 2, 600, [0.8892182, 0.39526072])
('minibatch Accuracy (i, batch number)', 2, 650, [0.8896, 0.39033046])
('minibatch Accuracy (i, batch number)', 2, 700, [0.8907091, 0.38429996])
('minibatch Accuracy (i, batch number)', 2, 750, [0.8922, 0.37776098])
('minibatch Accuracy (i, batch number)', 2, 800, [0.8925818, 0.37342113])
('minibatch Accuracy (i, batch number)', 2, 850, [0.8940182, 0.36827126])
('Accuracy', 2, 'Test', array([0.89749998]), 'Train', array([0.8943091]))
('minibatch Accuracy (i, batch number)', 3, 50, [0.89592725, 0.36236322])
('minibatch Accuracy (i, batch number)', 3, 100, [0.8964364, 0.3580192])
('minibatch Accuracy (i, batch number)', 3, 150, [0.8971636, 0.3537445])
('minibatch Accuracy (i, batch number)', 3, 200, [0.8983273, 0.34939104])
('minibatch Accuracy (i, batch number)', 3, 250, [0.8995818, 0.3451309])
('minibatch Accuracy (i, batch number)', 3, 300, [0.9008, 0.3418556])
('minibatch Accuracy (i, batch number)', 3, 350, [0.9016727, 0.3376383])
('minibatch Accuracy (i, batch number)', 3, 400, [0.90198183, 0.33502492])
('minibatch Accuracy (i, batch number)', 3, 450, [0.9032182, 0.33055604])
('minibatch Accuracy (i, batch number)', 3, 500, [0.9043818, 0.32644013])
('minibatch Accuracy (i, batch number)', 3, 550, [0.9049818, 0.32324827])
('minibatch Accuracy (i, batch number)', 3, 600, [0.90638185, 0.31954312])
('minibatch Accuracy (i, batch number)', 3, 650, [0.907, 0.31690967])
('minibatch Accuracy (i, batch number)', 3, 700, [0.90785456, 0.31380448])
